ruta,clase,cubierto_base,cubierto_propuesta,manifiestos_propuesta
experimentos/generador_rafagas.py,A_codigo_documentacion,no,no,
experimentos/generar_boxplots.py,A_codigo_documentacion,no,no,
experimentos/generar_evidencia_arbiter.py,A_codigo_documentacion,no,no,
experimentos/load-env.ps1,A_codigo_documentacion,no,no,
experimentos/metrics/interpretacion-metricas.md,A_codigo_documentacion,no,no,
experimentos/metrics/metric-schema.json,A_codigo_documentacion,no,no,
experimentos/metrics/results/.gitkeep,A_codigo_documentacion,no,no,
experimentos/metrics/results/comparacion.csv,C_derived,no,si,experimentos/metrics/results/SHA256SUMS
experimentos/metrics/results/comparacion.json,C_derived,no,si,experimentos/metrics/results/SHA256SUMS
experimentos/oraculo_reservas.py,A_codigo_documentacion,no,no,
experimentos/planificar_arbiter.py,A_codigo_documentacion,no,no,
experimentos/prepare_local.py,A_codigo_documentacion,no,no,
experimentos/protocolo-e2-fiabilidad-correctiva.md,A_codigo_documentacion,no,no,
experimentos/protocolo-e4.md,A_codigo_documentacion,no,no,
experimentos/protocolo-experimental.md,A_codigo_documentacion,no,no,
experimentos/registrar_iso25010.py,A_codigo_documentacion,no,no,
experimentos/resultados/RESUMEN-ISO25010-E4.md,A_codigo_documentacion,si,si,experimentos/resultados/SHA256SUMS
experimentos/resultados/SHA256SUMS,D_manifest,no,no,
experimentos/resultados/TRAZABILIDAD-E3-E4.md,A_codigo_documentacion,no,no,
experimentos/resultados/analisis-e3.json,C_derived,no,si,experimentos/resultados/MANIFEST-SHA256.txt
experimentos/resultados/arbiter/README.md,A_codigo_documentacion,no,no,
experimentos/resultados/arbiter/campaign/SHA256SUMS,D_manifest,no,no,
experimentos/resultados/arbiter/campaign/analysis/comparisons.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s0-r01-ce4dacc0.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s0-r02-a7bad9de.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s0-r03-5bd30469.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s0-r04-6e6cd579.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s0-r05-a283247c.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s0-r06-50528ad4.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s0-r07-5b246c3a.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s0-r08-72331373.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
